movie_id,genre,id
308396,Comedy,341
308396,Action,342
308396,Adventure,343
309597,Fantasy,344
309597,Horror,345
310141,Sci-Fi,346
310141,Action,347
312934,Drama,348
312934,War,349
312963,Mystery,350
312963,Sci-Fi,351
313059,Adventure,352
313059,Drama,353
313478,Fantasy,354
313478,Sci-Fi,355
313478,Action,356
313478,Adventure,357
313479,Fantasy,358
313479,Sci-Fi,359
313479,Action,360
313479,Adventure,361
316323,Thriller,362
316323,Film-Noir,363
316323,Drama,364
319181,Drama,365
319181,Film-Noir,366
319516,Comedy,367
324371,Sci-Fi,368
326155,Drama,369
326155,Thriller,370
326155,Crime,371
328277,Sci-Fi,372
328277,Action,373
328277,Thriller,374
328277,Drama,375
334212,Drama,376
336683,Crime,377
336683,Film-Noir,378
336683,Thriller,379
337166,Animation,380
337166,Family,381
337166,Comedy,382
337166,Fantasy,383
337307,Comedy,384
337307,Horror,385
337307,Sci-Fi,386
337830,Drama,387
340247,Horror,388
340247,Fantasy,389
342384,Drama,390
342384,Thriller,391
342384,Sci-Fi,392
346949,Western,393
346949,Drama,394
352639,Drama,395
352639,Mystery,396
352639,Thriller,397
352639,Romance,398
364329,Thriller,399
364329,Drama,400
366987,Drama,401
366987,Thriller,402
366987,Mystery,403
371844,Drama,404
371844,Action,405
371844,Crime,406
371844,Thriller,407
375706,Horror,408
