name,gender,birth_date,birth_country,country,country_code,discipline,discipline_code,residence_country,height_m/ft
ABIDINE Abidine,Male,1993-03-31,NA,Mauritania,MTN,Athletics,ATH,NA,NA
ABLIAZIN Denis,Male,1992-08-03,Russian Federation,ROC,ROC,Artistic Gymnastics,GAR,Russian Federation,1.60/5'2''
ABNER,Male,2000-05-27,Brazil,Brazil,BRA,Football,FBL,NA,1.81/5'11''
ABOUD Hadel,Female,1999-10-21,NA,Libya,LBA,Athletics,ATH,NA,NA
ABOUELKASSEM Alaaeldin,Male,1990-11-25,Algeria,Egypt,EGY,Fencing,FEN,Egypt,NA
ABOUKE Nancy Genzel,Female,2003-07-05,NA,Nauru,NRU,Weightlifting,WLF,NA,NA
ABRAHAM Tadesse,Male,1982-08-12,Eritrea,Switzerland,SUI,Athletics,ATH,Switzerland,NA
ABRAHAMS Rusten John,Male,1997-12-16,NA,South Africa,RSA,Hockey,HOC,South Africa,NA
ABRAMS Aliyah,Female,1997-04-03,United States of America,Guyana,GUY,Athletics,ATH,NA,NA
ABRAMS Jasmine,Female,1994-03-14,United States of America,Guyana,GUY,Athletics,ATH,United States of America,NA
ABRAMYAN Benik,Male,1985-07-31,NA,Georgia,GEO,Athletics,ATH,NA,NA
ABREU Diogo,Male,1993-09-05,United States of America,Portugal,POR,Trampoline Gymnastics,GTR,Portugal,1.83/6'0''
ABRINES Alex,Male,1993-08-01,Spain,Spain,ESP,Basketball,BKB,NA,1.98/6'5''
ABROSIMOV Kirill,Male,1991-11-22,Russian Federation,ROC,ROC,Marathon Swimming,OWS,Russian Federation,NA
ABU RABEE Asma,Female,1991-09-28,NA,Jordan,JOR,Shooting,SHO,NA,NA
ABU RMILAH Wesam,Male,1995-12-10,NA,Palestine,PLE,Judo,JUD,NA,NA
ABUAKU Joshua,Male,1996-07-07,Germany,Germany,GER,Athletics,ATH,Germany,NA
ABUJBARA Tala,Female,1992-07-22,United States of America,Qatar,QAT,Rowing,ROW,Qatar,1.78/5'10''
ACERENZA Domenico,Male,1995-01-19,Italy,Italy,ITA,Swimming,SWM,Italy,NA
ACETI Vladimir,Male,1998-10-16,Russian Federation,Italy,ITA,Athletics,ATH,Italy,1.78/5'10''
ACEVEDO Javier,Male,1998-01-28,Canada,Canada,CAN,Swimming,SWM,Canada,NA
ACHAB Jaouad,Male,1992-08-20,Morocco,Belgium,BEL,Taekwondo,TKW,Belgium,NA
ACHANTA Kamal,Male,1982-07-12,India,India,IND,Table Tennis,TTE,India,NA
ACHE Ragnar,Male,1998-07-28,Germany,Germany,GER,Football,FBL,NA,1.83/6'0''
ACHILLEOS Georgios,Male,1980-12-24,Great Britain,Cyprus,CYP,Shooting,SHO,NA,1.75/5'8''
ACHIUWA Precious,Male,1999-09-19,Nigeria,Nigeria,NGR,Basketball,BKB,NA,2.03/6'7''
ACHONWA Natalie,Female,1992-11-22,Canada,Canada,CAN,Basketball,BKB,NA,1.91/6'3''
ACHOURI Haikel,Male,1984-08-29,NA,Tunisia,TUN,Wrestling,WRE,Tunisia,NA
ACIN Nikola,Male,1999-12-19,NA,Serbia,SRB,Swimming,SWM,United States of America,NA
ACKERMANN Simone,Female,1990-02-01,South Africa,South Africa,RSA,Triathlon,TRI,NA,NA
ACOSTA Briseida,Female,1993-08-30,Mexico,Mexico,MEX,Taekwondo,TKW,United States of America,NA
ACOSTA FERNANDEZ Yasmani,Male,1988-07-16,Cuba,Chile,CHI,Wrestling,WRE,NA,NA
ACOSTA GIRALDO Valentina,Female,2000-04-20,Colombia,Colombia,COL,Archery,ARC,Colombia,NA
ACOSTA Marcelo,Male,1996-07-11,El Salvador,El Salvador,ESA,Swimming,SWM,NA,NA
ACUNA Yenny,Female,1997-05-18,Chile,Chile,CHI,Football,FBL,Chile,1.61/5'3''
ADACHI Kazuya,Male,1990-10-23,Japan,Japan,JPN,Canoe Slalom,CSL,Japan,NA
ADACHI Seiya,Male,1995-06-24,Japan,Japan,JPN,Water Polo,WPO,NA,1.72/5'7''
