name,gender,birth_date,birth_country,country,country_code,discipline,discipline_code,residence_country,height_m/ft
BIGOT Quentin,Male,1992-12-01,France,France,FRA,Athletics,ATH,France,NA
BIJAC Marko,Male,1991-01-12,Croatia,Croatia,CRO,Water Polo,WPO,Croatia,NA
BILDSTEIN Benjamin,Male,1992-01-16,NA,Austria,AUT,Sailing,SAL,Austria,1.78/5'10''
BILES Simone,Female,1997-03-14,United States of America,United States of America,USA,Artistic Gymnastics,GAR,United States of America,1.42/4'7''
BILIS Simonas,Male,1993-11-11,Lithuania,Lithuania,LTU,Swimming,SWM,Lithuania,NA
BILLIET Sandrine,Female,1990-02-16,Belgium,Cape Verde,CPV,Judo,JUD,Belgium,NA
BILLOT Mathieu,Male,1985-12-22,NA,France,FRA,Equestrian,EQU,France,NA
BILLYS Lauren,Female,1988-05-14,United States of America,Puerto Rico,PUR,Equestrian,EQU,United States of America,NA
BILODEAU Mathieu,Male,1983-11-27,Canada,Canada,CAN,Athletics,ATH,Canada,NA
BILODID Daria,Female,2000-10-10,Ukraine,Ukraine,UKR,Judo,JUD,Ukraine,NA
BIN FUTAIS Saif,Male,1973-09-02,United Arab Emirates,United Arab Emirates,UAE,Shooting,SHO,NA,NA
BINEDELL Martin,Male,1995-07-30,South Africa,South Africa,RSA,Swimming,SWM,South Africa,NA
BINGHAM Khamica,Female,1994-06-15,Canada,Canada,CAN,Athletics,ATH,Canada,NA
BIRCH Chloe,Female,1995-09-16,Great Britain,Great Britain,GBR,Badminton,BDM,Great Britain,NA
BIRD Elizabeth,Female,1994-10-04,Philippines,Great Britain,GBR,Athletics,ATH,NA,NA
BIRD Kieran,Male,1999-09-02,NA,Great Britain,GBR,Swimming,SWM,Great Britain,NA
BIRD Sue,Female,1980-10-16,United States of America,United States of America,USA,Basketball,BKB,United States of America,1.75/5'8''
BIRIBO Kinaua,Female,1993-08-14,Kiribati,Kiribati,KIR,Judo,JUD,NA,NA
BIRIZ Onur Cavit,Male,1998-10-16,Turkey,Turkey,TUR,Sailing,SAL,Turkey,1.86/6'1''
BIRO Blanka,Female,1994-09-22,Hungary,Hungary,HUN,Handball,HBL,NA,1.87/6'1''
BIRON Gilles,Male,1995-04-13,France,France,FRA,Athletics,ATH,NA,1.81/5'11''
BIRTWHISTLE Jacob,Male,1995-01-04,Australia,Australia,AUS,Triathlon,TRI,Spain,NA
BISHARAT Ibrahim Hani,Male,1984-02-22,Jordan,Jordan,JOR,Equestrian,EQU,NA,NA
BISHINDEE Urantungalag,Female,1977-02-24,NA,Mongolia,MGL,Archery,ARC,NA,NA
BISHOP-NRIAGU Melissa,Female,1988-08-05,Canada,Canada,CAN,Athletics,ATH,Canada,NA
BISKUP Mateusz,Male,1994-02-08,Poland,Poland,POL,Rowing,ROW,Poland,1.90/6'2''
BISSEGGER Stefan,Male,1998-09-13,NA,Switzerland,SUI,Cycling Track,CTR,NA,1.80/5'10''
BISSET Catriona,Female,1994-03-01,NA,Australia,AUS,Athletics,ATH,Australia,NA
BISSETT Brenden David Nelson,Male,1993-01-28,Canada,Canada,CAN,Hockey,HOC,Canada,1.76/5'9''
BITHELL Stuart,Male,1986-08-28,Great Britain,Great Britain,GBR,Sailing,SAL,Great Britain,1.86/6'1''
BITOLO Gabriela,Female,1999-04-01,NA,Brazil,BRA,Handball,HBL,NA,1.80/5'10''
BITSCH Noah,Male,1989-09-29,Germany,Germany,GER,Karate,KTE,NA,NA
BITTER Johannes,Male,1982-09-02,Germany,Germany,GER,Handball,HBL,NA,2.05/6'8''
BJELICA Ana,Female,1992-04-03,Serbia,Serbia,SRB,Volleyball,VVO,NA,1.90/6'2''
BJELJAC Bojana,Female,1989-04-10,Croatia,Croatia,CRO,Athletics,ATH,Croatia,NA
BJERENDAL Christine,Female,1987-02-03,NA,Sweden,SWE,Archery,ARC,NA,NA
BJERG Tobias,Male,1998-04-21,NA,Denmark,DEN,Swimming,SWM,Denmark,NA
BJERREHUUS Fredrik Holmquist,Male,1990-01-14,NA,Denmark,DEN,Wrestling,WRE,Denmark,NA
BJOERNSEN Kristian,Male,1989-01-10,Norway,Norway,NOR,Handball,HBL,Germany,1.91/6'3''
BJORN Nathalie,Female,1997-05-04,NA,Sweden,SWE,Football,FBL,NA,1.74/5'8''
BJURBERG KESSIDIS Alex Michel,Male,1995-03-23,NA,Sweden,SWE,Wrestling,WRE,Sweden,1.81/5'11''
BLAAK Pirmin,Male,1988-03-08,Netherlands,Netherlands,NED,Hockey,HOC,Netherlands,NA
BLACK Elsabeth,Female,1995-09-08,Canada,Canada,CAN,Artistic Gymnastics,GAR,Canada,1.57/5'1''
BLACKBURN Angeline,Female,1989-08-17,Australia,Australia,AUS,Athletics,ATH,Australia,NA
BLACKSTENIUS Stina,Female,1996-02-05,Sweden,Sweden,SWE,Football,FBL,Sweden,1.74/5'8''
BLAGOJEVIC Jelena,Female,1988-12-01,Bosnia and Herzegovina,Serbia,SRB,Volleyball,VVO,NA,1.89/6'2''
BLAIS-BELANGER Marc-Antoine,Male,1995-02-20,Canada,Canada,CAN,Fencing,FEN,Canada,NA
BLAKE Jerome,Male,1995-08-18,Jamaica,Canada,CAN,Athletics,ATH,Canada,NA
BLAKE Yohan,Male,1989-12-26,Jamaica,Jamaica,JAM,Athletics,ATH,NA,NA
BLANKENAU Jay,Male,1989-09-27,Canada,Canada,CAN,Volleyball,VVO,Turkey,1.94/6'4''
BLAZE Anita,Female,1991-10-29,France,France,FRA,Fencing,FEN,NA,NA
BLAZHEVSKA EMINOVA Mia,Female,2005-08-04,NA,North Macedonia,MKD,Swimming,SWM,North Macedonia,1.64/5'4''
BLAZIC Jaka,Male,1990-06-30,NA,Slovenia,SLO,Basketball,BKB,Slovenia,1.96/6'5''
BLAZQUEZ Joaquin,Male,2001-01-28,NA,Argentina,ARG,Football,FBL,NA,1.93/6'3''
BLECH Torben,Male,1995-02-12,Germany,Germany,GER,Athletics,ATH,NA,NA
BLECHER Eden,Female,1997-11-27,NA,Israel,ISR,Artistic Swimming,SWA,NA,NA
BLEICH Jeremy,Male,1987-06-18,United States of America,Israel,ISR,Baseball/Softball,BSB,NA,1.88/6'2''
BLEVINS Christopher,Male,1998-03-14,United States of America,United States of America,USA,Cycling Mountain Bike,MTB,United States of America,1.85/6'0''
BLICAVS Sara Kirsti,Female,1993-02-15,Australia,Australia,AUS,Basketball,BKB,NA,1.88/6'2''
BLICHFELDT Mia,Female,1997-08-19,Denmark,Denmark,DEN,Badminton,BDM,Denmark,NA
BLIGNAUT Kyle,Male,1999-11-09,NA,South Africa,RSA,Athletics,ATH,NA,NA
BLIZNETS Yuliya,Female,1994-11-05,NA,Belarus,BLR,Athletics,ATH,Belarus,NA
BLIZNYUK Anastasia,Female,1994-06-28,Ukraine,ROC,ROC,Rhythmic Gymnastics,GRY,NA,1.77/5'9''
BLOHM Linn,Female,1992-05-20,Sweden,Sweden,SWE,Handball,HBL,NA,1.80/5'10''
BLOK Justen,Male,2000-09-27,NA,Netherlands,NED,Hockey,HOC,NA,1.95/6'4''
BLOM Merel,Female,1986-08-19,Netherlands,Netherlands,NED,Equestrian,EQU,Netherlands,NA
BLOMBERG Emil,Male,1992-04-09,NA,Sweden,SWE,Athletics,ATH,NA,NA
BLOMQVIST Rebecka,Female,1997-07-24,NA,Sweden,SWE,Football,FBL,NA,1.67/5'5''
BLUME Pernille,Female,1994-05-14,Denmark,Denmark,DEN,Swimming,SWM,France,NA
BLUMMENFELT Kristian,Male,1994-02-14,Norway,Norway,NOR,Triathlon,TRI,Norway,NA
BLUNDELL Jenny,Female,1994-05-09,Australia,Australia,AUS,Athletics,ATH,Australia,NA
BLYDE Michaela,Female,1995-12-29,New Zealand,New Zealand,NZL,Rugby Sevens,RUG,New Zealand,1.65/5'4''
BOARI Lucilla,Female,1997-03-24,NA,Italy,ITA,Archery,ARC,NA,NA
BOATENG Bismark,Male,1992-03-15,Ghana,Canada,CAN,Athletics,ATH,Canada,NA
BOBBS Quanita,Female,1993-09-03,South Africa,South Africa,RSA,Hockey,HOC,South Africa,NA
BOBOC Radu,Male,1999-04-24,Romania,Romania,ROU,Football,FBL,Romania,1.80/5'10''
BOBOCEA Claudia Mihaela,Female,1992-06-11,Romania,Romania,ROU,Athletics,ATH,NA,NA
BOBONOV Davlat,Male,1997-06-07,Uzbekistan,Uzbekistan,UZB,Judo,JUD,Uzbekistan,NA
BOBRITSKY Shelly,Female,2001-06-27,NA,Israel,ISR,Artistic Swimming,SWA,NA,NA
BOBROVNIKOVA Vladlena,Female,1987-10-24,Russian Federation,ROC,ROC,Handball,HBL,Russian Federation,1.80/5'10''
BOBROVS Daniils,Male,1997-10-08,Latvia,Latvia,LAT,Swimming,SWM,Latvia,NA
BOCCARD Gauthier,Male,1991-08-26,Belgium,Belgium,BEL,Hockey,HOC,Belgium,NA
BOCCHI Tobia,Male,1997-04-07,Italy,Italy,ITA,Athletics,ATH,NA,NA
BOCEKLER Beril,Female,2004-02-07,Turkey,Turkey,TUR,Swimming,SWM,NA,NA
BOCKARIE Solomon,Male,1987-05-18,Sierra Leone,Netherlands,NED,Athletics,ATH,Netherlands,NA
BODEGAS Michael Alexandre,Male,1987-05-03,France,Italy,ITA,Water Polo,WPO,Spain,1.92/6'3''
BODENMULLER Eveline,Female,1985-09-30,Switzerland,Switzerland,SUI,Equestrian,EQU,Switzerland,NA
BODNAR Ancuta,Female,1998-09-25,Romania,Romania,ROU,Rowing,ROW,Romania,1.79/5'10''
BODNAR Maciej,Male,1985-03-07,Poland,Poland,POL,Cycling Road,CRD,Poland,1.86/6'1''
BODNARCHUK Mariola,Female,2002-03-23,Ukraine,Ukraine,UKR,Rhythmic Gymnastics,GRY,Ukraine,1.76/5'9''
BODONYI Dora,Female,1993-11-07,NA,Hungary,HUN,Canoe Sprint,CSP,NA,1.80/5'10''
BOETTICHER Stefan,Male,1992-02-01,NA,Germany,GER,Cycling Track,CTR,NA,1.84/6'0''
BOGAERTS Rafael,Male,1993-08-16,NA,Belgium,BEL,3x3 Basketball,BK3,NA,1.98/6'5''
BOGDAN Denis,Male,1996-10-13,Belarus,ROC,ROC,Volleyball,VVO,Russian Federation,2.00/6'6''
BOGDANOVIC Tijana,Female,1998-05-04,Serbia,Serbia,SRB,Taekwondo,TKW,Serbia,1.76/5'9''
BOGLIOLO Luminosa,Female,1995-07-03,Italy,Italy,ITA,Athletics,ATH,Italy,NA
BOHACIK Jaromir,Male,1992-05-26,Czech Republic,Czech Republic,CZE,Basketball,BKB,NA,1.97/6'5''
BOHE Caroline,Female,1999-07-23,NA,Denmark,DEN,Cycling Mountain Bike,MTB,NA,1.61/5'3''
BOHUS Richard,Male,1993-04-09,Hungary,Hungary,HUN,Swimming,SWM,Hungary,NA
BOISSONNEAULT Rosalie,Female,2003-07-04,Canada,Canada,CAN,Artistic Swimming,SWA,Canada,NA
BOIVIN Guillaume,Male,1989-05-25,Canada,Canada,CAN,Cycling Road,CRD,Canada,1.80/5'10''
BOJE Alexandra,Female,1999-12-06,Denmark,Denmark,DEN,Badminton,BDM,Denmark,NA
BOKESA Aauri Lorena,Female,1988-12-14,Spain,Spain,ESP,Athletics,ATH,NA,NA
BOL Femke,Female,2000-02-23,Netherlands,Netherlands,NED,Athletics,ATH,Netherlands,NA
BOL Peter,Male,1994-02-22,Sudan,Australia,AUS,Athletics,ATH,Australia,NA
BOLACA Napolioni,Male,1996-10-20,NA,Fiji,FIJ,Rugby Sevens,RUG,NA,1.80/5'10''
BOLD Gankhaich,Female,1995-02-21,NA,Mongolia,MGL,Judo,JUD,Republic of Korea,NA
BOLDSAIKHAN Khongorzul,Female,2001-05-27,NA,Mongolia,MGL,Wrestling,WRE,Mongolia,NA
BOLINGO Cynthia,Female,1993-01-12,Belgium,Belgium,BEL,Athletics,ATH,NA,NA
BOLL Timo,Male,1981-03-08,Germany,Germany,GER,Table Tennis,TTE,Germany,NA
BOLMARO Leandro,Male,2000-09-11,Argentina,Argentina,ARG,Basketball,BKB,NA,1.98/6'5''
BOLOU Marie,Female,1992-11-27,France,France,FRA,Sailing,SAL,France,1.73/5'8''
BOLTABOEV Sharofiddin,Male,1995-11-19,NA,Uzbekistan,UZB,Judo,JUD,NA,NA
BOLTO Marc,Male,1995-11-21,Spain,Spain,ESP,Hockey,HOC,Spain,1.82/5'11''
BOMME Emma Beiter,Female,1998-06-28,NA,Denmark,DEN,Athletics,ATH,Denmark,1.70/5'6''
BONANNO Nicolas,Male,1991-11-18,Argentina,Argentina,ARG,Handball,HBL,Spain,1.98/6'5''
BONASTRE PEREMATEU Berta,Female,1992-06-03,Spain,Spain,ESP,Hockey,HOC,Spain,1.57/5'1''
BOND Ashlee,Female,1985-04-15,United States of America,Israel,ISR,Equestrian,EQU,United States of America,NA
BOND Hamish,Male,1986-02-13,New Zealand,New Zealand,NZL,Rowing,ROW,New Zealand,NA
BONDAR Aleksandr,Male,1993-10-25,Ukraine,ROC,ROC,Diving,DIV,Russian Federation,NA
BONE Edwina,Female,1988-04-29,Australia,Australia,AUS,Hockey,HOC,Australia,NA
BONE Oliver,Male,1981-04-29,Canada,Canada,CAN,Sailing,SAL,Canada,NA
BONEVACIA Liemarvin,Male,1989-04-05,NA,Netherlands,NED,Athletics,ATH,NA,NA
BONFACE Harriet,Female,1993-01-26,NA,Malawi,MAW,Judo,JUD,NA,NA
BONFIM Caio,Male,1991-03-19,Brazil,Brazil,BRA,Athletics,ATH,Brazil,NA
BONGA Isaac,Male,1999-11-08,Germany,Germany,GER,Basketball,BKB,NA,2.03/6'7''
BONGIORNI Anna,Female,1993-09-15,Italy,Italy,ITA,Athletics,ATH,Italy,NA
BONHOMME Ariane,Female,1995-04-02,NA,Canada,CAN,Cycling Track,CTR,NA,1.75/5'8''
BONIFACIO Emilio,Male,1985-04-23,Dominican Republic,Dominican Republic,DOM,Baseball/Softball,BSB,NA,1.77/5'9''
BONILLA Andrea Paola,Female,1986-12-05,NA,Ecuador,ECU,Athletics,ATH,Ecuador,NA
BONNAT MICHEL Zacarias,Male,1996-02-27,Dominican Republic,Dominican Republic,DOM,Weightlifting,WLF,NA,NA
BONNET Charlotte,Female,1995-02-14,France,France,FRA,Swimming,SWM,France,NA
BONT Debbie,Female,1990-12-09,Netherlands,Netherlands,NED,Handball,HBL,Denmark,1.75/5'8''
BONVALOT Teresa,Female,1999-10-07,Portugal,Portugal,POR,Surfing,SRF,NA,NA
BOOKER Devin,Male,1996-10-30,United States of America,United States of America,USA,Basketball,BKB,NA,1.96/6'5''
BOON Tom Alain,Male,1990-01-25,Belgium,Belgium,BEL,Hockey,HOC,Belgium,NA
BOONZAAIJER Janneke,Female,1996-09-06,NA,Netherlands,NED,Equestrian,EQU,Netherlands,NA
BOOTH Joshua,Male,1990-10-09,Australia,Australia,AUS,Rowing,ROW,NA,1.90/6'2''
BOOTHROYD John Findlay Hammond,Male,1999-03-09,NA,Canada,CAN,Hockey,HOC,Canada,1.81/5'11''
BOR Hillary,Male,1989-11-22,Kenya,United States of America,USA,Athletics,ATH,United States of America,NA
BORCH Kjetil,Male,1990-02-14,Norway,Norway,NOR,Rowing,ROW,Norway,1.93/6'3''
BORCHASHVILI Shamil,Male,1995-06-09,NA,Austria,AUT,Judo,JUD,Austria,NA
BORDAS Reka,Female,1997-08-26,Hungary,Hungary,HUN,Handball,HBL,Hungary,1.84/6'0''
BORDIER Gabriel,Male,1997-10-08,France,France,FRA,Athletics,ATH,France,NA
BORDIGNON Giorgia,Female,1987-05-24,Italy,Italy,ITA,Weightlifting,WLF,Italy,1.59/5'2''
BORDONE Susanna,Female,1981-09-09,Italy,Italy,ITA,Equestrian,EQU,Italy,NA
BOREL Yannick,Male,1988-11-05,France,France,FRA,Fencing,FEN,France,NA
BORGA Rebecca,Female,1998-06-11,NA,Italy,ITA,Athletics,ATH,NA,NA
BORGER Karla,Female,1988-11-22,Germany,Germany,GER,Beach Volleyball,VBV,Germany,1.79/5'10''
BORGES Alexis,Male,1991-10-06,Cuba,Portugal,POR,Handball,HBL,NA,1.98/6'5''
BORGES ALMEIDA SILVA Mauricio,Male,1989-02-04,Brazil,Brazil,BRA,Volleyball,VVO,Brazil,1.99/6'6''
BORGES Felipe,Male,1985-05-04,Brazil,Brazil,BRA,Handball,HBL,France,1.88/6'2''
BORGES Gabriel,Male,1992-02-24,Brazil,Brazil,BRA,Sailing,SAL,Brazil,NA
BORGLI Stine,Female,1990-07-04,Norway,Norway,NOR,Cycling Road,CRD,Norway,NA
BORGOHAIN Lovlina,Female,1997-10-02,India,India,IND,Boxing,BOX,India,1.77/5'9''
BORKOWSKI Mateusz,Male,1997-04-02,Poland,Poland,POL,Athletics,ATH,Poland,NA
BORLEE Dylan,Male,1992-09-20,Belgium,Belgium,BEL,Athletics,ATH,NA,NA
BORLEE Jonathan,Male,1988-02-22,Belgium,Belgium,BEL,Athletics,ATH,Belgium,NA
BORLEE Kevin,Male,1988-02-22,Belgium,Belgium,BEL,Athletics,ATH,NA,NA
BORODACHEV Anton,Male,2000-03-23,Russian Federation,ROC,ROC,Fencing,FEN,Russian Federation,NA
BORODACHEV Kirill,Male,2000-03-23,Russian Federation,ROC,ROC,Fencing,FEN,Russian Federation,NA
BORODAVKO Jevgenijs,Male,1986-11-04,Latvia,Latvia,LAT,Judo,JUD,NA,NA
BORODIN Ilia,Male,2003-02-14,NA,ROC,ROC,Swimming,SWM,Russian Federation,NA
BOROWSKA Dorota,Female,1996-02-22,NA,Poland,POL,Canoe Sprint,CSP,NA,1.70/5'6''
BORRAS Marion,Female,1997-11-24,NA,France,FRA,Cycling Track,CTR,NA,NA
BORRERO MOLINA Ismael,Male,1992-01-06,Cuba,Cuba,CUB,Wrestling,WRE,Cuba,NA
BORTHWICK Emily,Female,1997-09-02,NA,Great Britain,GBR,Athletics,ATH,Great Britain,NA
BORUTTA Samantha,Female,2000-08-07,Germany,Germany,GER,Athletics,ATH,NA,NA
BORYKAU Mikita,Male,1992-07-07,Belarus,Belarus,BLR,Canoe Sprint,CSP,NA,1.91/6'3''
BOSETTI Caterina Chiara,Female,1994-02-02,Italy,Italy,ITA,Volleyball,VVO,NA,1.79/5'10''
BOSHNAK Aliya,Female,2000-12-19,NA,Jordan,JOR,Athletics,ATH,NA,NA
BOSKOVIC Tijana,Female,1997-03-08,Bosnia and Herzegovina,Serbia,SRB,Volleyball,VVO,NA,1.93/6'3''
BOSSE Pierre-Ambroise,Male,1992-05-11,France,France,FRA,Athletics,ATH,France,NA
BOSSERHOFF Niklas,Male,1998-04-15,NA,Germany,GER,Hockey,HOC,Germany,1.76/5'9''
BOSSUYT Shari,Female,2000-09-05,NA,Belgium,BEL,Cycling Track,CTR,NA,NA
BOSWORTH Sam,NA,NA,NA,New Zealand,NZL,NA,ROW,NA,NA
BOSWORTH Tom,Male,1990-01-17,Great Britain,Great Britain,GBR,Athletics,ATH,Great Britain,NA
BOTALOVA Maria,Female,1990-10-08,NA,ROC,ROC,Rowing,ROW,Russian Federation,NA
BOTEK Adam,Male,1997-03-05,NA,Slovakia,SVK,Canoe Sprint,CSP,NA,1.93/6'3''
BOTHA Bryony,Female,1997-11-04,NA,New Zealand,NZL,Cycling Track,CTR,NA,NA
BOTIN le CHEVER Diego,Male,1993-12-25,Spain,Spain,ESP,Sailing,SAL,NA,1.83/6'0''
BOTITU Vilimoni,Male,1998-06-15,NA,Fiji,FIJ,Rugby Sevens,RUG,NA,1.70/5'6''
BOTLOGETSWE Christine,Female,1995-10-01,Botswana,Botswana,BOT,Athletics,ATH,Botswana,NA
BOTT CJ,Female,1995-04-22,New Zealand,New Zealand,NZL,Football,FBL,Norway,1.65/5'4''
BOTTARO Viviana,Female,1987-09-02,Italy,Italy,ITA,Karate,KTE,Italy,NA
BOUALAM Roumaysa,Female,1994-10-10,Algeria,Algeria,ALG,Boxing,BOX,NA,NA
BOUBAKRI Ines,Female,1988-12-28,NA,Tunisia,TUN,Fencing,FEN,NA,NA
BOUCHERON Hugo,Male,1993-05-30,France,France,FRA,Rowing,ROW,France,1.95/6'4''
BOUCHICHA Hichem,Male,1989-05-19,Algeria,Algeria,ALG,Athletics,ATH,Algeria,NA
BOUDINA Sid Ali,Male,1990-05-07,NA,Algeria,ALG,Rowing,ROW,Algeria,NA
BOUDJEMLINE Adem,Male,1994-02-28,Algeria,Algeria,ALG,Wrestling,WRE,NA,NA
BOUGARD Erica,Female,1993-07-26,United States of America,United States of America,USA,Athletics,ATH,United States of America,NA
BOUGUERRA Aymen,Male,2001-11-01,Tunisia,Tunisia,TUN,Volleyball,VVO,France,1.88/6'2''
BOUKAA El Ghali,NA,NA,NA,Morocco,MAR,NA,EQU,NA,NA
BOUKHIAM Ramzi,Male,1993-09-14,NA,Morocco,MAR,Surfing,SRF,Morocco,NA
BOUKLI Shirine,Female,1999-01-24,France,France,FRA,Judo,JUD,France,NA
BOULOUDINATS Chouaib,Male,1987-01-08,Algeria,Algeria,ALG,Boxing,BOX,NA,NA
BOUMA Andrea,Female,1999-11-06,NA,Netherlands,NED,Athletics,ATH,NA,1.78/5'10''
BOUNABI Akram,Male,1999-08-28,NA,Algeria,ALG,Fencing,FEN,NA,NA
BOUQANTAR Soufiyan,Male,1993-08-30,Morocco,Morocco,MAR,Athletics,ATH,Morocco,NA
BOURAS Hamza,Male,1987-12-16,Algeria,Algeria,ALG,Sailing,SAL,Algeria,NA
BOUREZ Michel,Male,1985-12-30,France,France,FRA,Surfing,SRF,NA,NA
BOURHIS Jean Pierre,Male,1995-03-29,France,Senegal,SEN,Canoe Slalom,CSL,France,NA
BOURIAH Larbi,Male,1983-02-24,France,Algeria,ALG,Table Tennis,TTE,France,NA
BOURKE Colin Raijin,Male,1984-10-15,New Zealand,Japan,JPN,Rugby Sevens,RUG,Japan,1.90/6'2''
BOURMPOU Christina Ioanna,Female,2000-10-21,NA,Greece,GRE,Rowing,ROW,NA,1.74/5'8''
BOURNE Tri,Male,1989-06-20,United States of America,United States of America,USA,Beach Volleyball,VBV,United States of America,1.96/6'5''
BOUSETA Siwar,Female,1999-07-23,NA,Tunisia,TUN,Wrestling,WRE,Tunisia,NA
BOUTBIEN Jeanne,Female,1999-04-08,NA,Senegal,SEN,Swimming,SWM,France,NA
BOUTER Micaela,Female,1995-10-27,South Africa,South Africa,RSA,Diving,DIV,Great Britain,NA
BOUTIER Celine,Female,1993-11-10,France,France,FRA,Golf,GLF,United States of America,1.65/5'4''
BOUTOUIL Samy,Male,2000-10-03,NA,Morocco,MAR,Swimming,SWM,NA,NA
BOUWMEESTER Marit,Female,1988-06-17,Netherlands,Netherlands,NED,Sailing,SAL,Netherlands,1.77/5'9''
BOUZAYANI Marwa,Female,1997-03-26,NA,Tunisia,TUN,Athletics,ATH,Tunisia,NA
BOVE Claire,Female,1998-06-03,France,France,FRA,Rowing,ROW,France,1.68/5'6''
BOVENDEERT Roel,Male,1992-05-08,NA,Netherlands,NED,Hockey,HOC,NA,NA
BOWEN Alex,Male,1993-09-04,United States of America,United States of America,USA,Water Polo,WPO,NA,1.96/6'5''
BOWEN Katie,Female,1994-04-15,New Zealand,New Zealand,NZL,Football,FBL,NA,1.73/5'8''
BOWEN Tom,Male,1993-07-31,Great Britain,Great Britain,GBR,Rugby Sevens,RUG,Great Britain,1.75/5'8''
BOXALL Michael,Male,1988-08-18,New Zealand,New Zealand,NZL,Football,FBL,NA,1.88/6'2''
BOYCE Brendan,Male,1986-10-08,Ireland,Ireland,IRL,Athletics,ATH,Ireland,NA
BOYER Marine,Female,2000-05-22,France,France,FRA,Artistic Gymnastics,GAR,France,1.62/5'3''
BOYER Stephen,Male,1996-04-10,France,France,FRA,Volleyball,VVO,NA,1.96/6'5''
BOZ Meryem,Female,1988-02-03,Turkey,Turkey,TUR,Volleyball,VVO,Turkey,1.90/6'2''
BOZAN Dilara,Female,1997-03-28,NA,Turkey,TUR,Karate,KTE,Turkey,NA
BOZBAYEV Islam,Male,1991-06-11,Kazakhstan,Kazakhstan,KAZ,Judo,JUD,Kazakhstan,NA
BRADSHAW Holly,Female,1991-11-02,Great Britain,Great Britain,GBR,Athletics,ATH,Great Britain,NA
BRADY Jennifer,Female,1995-04-12,United States of America,United States of America,USA,Tennis,TEN,United States of America,1.75/5'8''
BRAEGGER Pablo,Male,1992-11-27,Switzerland,Switzerland,SUI,Artistic Gymnastics,GAR,Switzerland,1.69/5'6''
BRAENDLE Naemi,Female,2001-06-20,NA,Switzerland,SUI,Canoe Slalom,CSL,NA,NA
BRAGA GUIMARAES Gabriela,Female,1994-05-19,Brazil,Brazil,BRA,Volleyball,VVO,Turkey,1.80/5'10''
BRAGANCA Rui,Male,1991-12-26,Portugal,Portugal,POR,Taekwondo,TKW,Portugal,NA
BRAGMAYER Zsanett,Female,1994-03-29,Hungary,Hungary,HUN,Triathlon,TRI,France,NA
BRAID Connor,Male,1990-05-31,NA,Canada,CAN,Rugby Sevens,RUG,Canada,1.87/6'1''
BRAIDOT Luca,Male,1991-05-29,Italy,Italy,ITA,Cycling Mountain Bike,MTB,NA,1.79/5'10''
BRAIT Camila,Female,1988-10-28,Brazil,Brazil,BRA,Volleyball,VVO,NA,1.70/5'6''
BRAKE Michael,Male,1994-10-22,New Zealand,New Zealand,NZL,Rowing,ROW,New Zealand,NA
BRAND Tim,Male,1998-11-29,Netherlands,Australia,AUS,Hockey,HOC,NA,NA
BRANDAU Elisabeth,Female,1985-12-16,NA,Germany,GER,Cycling Mountain Bike,MTB,Germany,1.68/5'6''
BRANDHUBER Simon Josef,Male,1991-06-27,Germany,Germany,GER,Weightlifting,WLF,NA,1.64/5'4''
BRANDL Maximilian,Male,1997-06-25,Germany,Germany,GER,Cycling Mountain Bike,MTB,Germany,1.86/6'1''
BRANKOVSKI Borjan,Male,1996-12-15,North Macedonia,North Macedonia,MKD,Shooting,SHO,North Macedonia,1.80/5'10''
BRANQUINHO Diogo,Male,1994-07-25,Portugal,Portugal,POR,Handball,HBL,Portugal,1.84/6'0''
BRANSER Marie,Female,1992-08-15,Germany,Democratic Republic of the Congo,COD,Judo,JUD,Germany,NA
BRANZ Maria Sol,Female,1990-02-06,Argentina,Argentina,ARG,Sailing,SAL,NA,NA
BRASH Scott,Male,1985-11-23,Great Britain,Great Britain,GBR,Equestrian,EQU,NA,NA
BRASPENNINCX Shanne,Female,1991-05-18,NA,Netherlands,NED,Cycling Track,CTR,NA,NA
BRASSART Maellyse,Female,2001-06-22,Belgium,Belgium,BEL,Artistic Gymnastics,GAR,NA,1.62/5'3''
BRATHWAITE Shane,Male,1990-02-08,Barbados,Barbados,BAR,Athletics,ATH,NA,NA
BRATTSET DALE Kari,Female,1991-02-15,Norway,Norway,NOR,Handball,HBL,Hungary,1.84/6'0''
BRAUNSCHWEIG Ole,Male,1997-11-15,Germany,Germany,GER,Swimming,SWM,NA,NA
BRAUSSE Franziska,Female,1998-11-20,NA,Germany,GER,Cycling Track,CTR,NA,1.67/5'5''
BRAVO Claudio,Male,1997-03-13,Argentina,Argentina,ARG,Football,FBL,NA,1.70/5'6''
BRAVO Elizabeth,Female,1987-01-30,Ecuador,Ecuador,ECU,Triathlon,TRI,Ecuador,NA
BRAY-LOUGHEED Alanna,Female,1993-02-24,NA,Canada,CAN,Canoe Sprint,CSP,NA,1.70/5'6''
BRAZ Thiago,Male,1993-12-16,Brazil,Brazil,BRA,Athletics,ATH,Italy,NA
BRAZIER Kelly,Female,1989-10-28,New Zealand,New Zealand,NZL,Rugby Sevens,RUG,New Zealand,1.73/5'8''
BRECCIAROLI Stefano,Male,1974-11-19,Italy,Italy,ITA,Equestrian,EQU,NA,NA
BREDAL OFTEDAL Stine,Female,1991-09-25,Norway,Norway,NOR,Handball,HBL,NA,1.68/5'6''
