name,gender,birth_date,country_code,discipline,function,event
SPERONI Stefania,Female,1980-01-12,GBR,Artistic Swimming,Coach,Duet
STALEY Dawn Michelle,Female,1970-05-04,USA,Basketball,Coach,Women
STANIFORTH Dave,Male,1976-04-05,AUS,Hockey,Coach,NA
STAS Jacques,Male,1969-02-06,BEL,Basketball,Coach,NA
SUNDHAGE Pia Mariane,Female,1960-02-13,BRA,Football,Head Coach,Women
SVETLICHNAYA Aliona,Female,1981-12-18,BLR,Artistic Swimming,Coach,Duet
SZAUDER Gabor,Male,1972-02-10,CAN,Artistic Swimming,Coach,Duet
SZAUDER Gabor,Male,1972-02-10,CAN,Artistic Swimming,Coach,Team
SZAUDER Nora,Female,1979-01-29,SVK,Artistic Swimming,Coach,NA
TAGLE German,Male,1975-01-08,CHI,Football,Head Coach,NA
TAKAKURA Asako,Female,1968-04-19,JPN,Football,Head Coach,Women
TAKITA Risako,Female,1972-10-30,JPN,Artistic Swimming,Coach,Duet
TAKITA Risako,Female,1972-10-30,JPN,Artistic Swimming,Coach,Team
TARR Heather,Female,1974-10-05,USA,Baseball/Softball,Coach,Softball
TATEYAMA Yoshinori,Male,1975-12-26,JPN,Baseball/Softball,Coach,Baseball
TERZIC Zoran,Male,1966-07-09,SRB,Volleyball,Head Coach,Women
THOMAIDIS Lisa,Female,1971-07-23,CAN,Basketball,Coach,Women
TILLIE Laurent,Male,1963-12-01,FRA,Volleyball,Head Coach,Men
TUCAK Ivica,Male,1970-02-08,CRO,Water Polo,Head Coach,Men
TURNER Glenn,Male,1984-05-01,NZL,Hockey,Coach,Men
UDOKA Ime,Male,1977-08-09,USA,Basketball,Coach,NA
UDOVICIC Dejan,Male,1970-07-26,USA,Water Polo,Head Coach,Men
UTKIN Volodymyr,Male,1969-12-19,UKR,Artistic Swimming,Coach,NA
UTSUGI Reika,Female,1963-06-01,JPN,Baseball/Softball,Head Coach,Softball
van GINKEL Robin,Male,1982-04-30,RSA,Hockey,Head Coach,Women
van GUNDY Jeff,Male,1962-01-19,USA,Basketball,Coach,NA
VASQUEZ Diego,Male,1969-04-29,VEN,Basketball,Coach,NA
VILLEGAS Orlando,Male,1959-03-17,VEN,Volleyball,Head Coach,NA
VITORINO de SOUZA Marcelo,Male,1981-05-12,KEN,Volleyball,Head Coach,NA
VIVER ARZA Carlos Enrique,Male,1973-04-24,ESP,Handball,Coach,Women
VLACHOS Theodoros,Male,1969-07-09,GRE,Water Polo,Head Coach,Men
VOLOSHYNA Anna,Female,1991-09-26,USA,Artistic Swimming,Coach,Duet
VORONOVA Elena,Female,1991-03-22,ROC,Artistic Swimming,Coach,Duet
WALL Michael,Male,1978-10-29,USA,Volleyball,Head Coach,NA
WALLACE Dave,Male,1946-09-07,USA,Baseball/Softball,Coach,Baseball
WALSH Tim,Male,1979-04-10,AUS,Rugby Sevens,Head Coach,Men
WANG Jie,Female,1961-11-18,CHN,Artistic Swimming,Coach,Duet
WANG Jie,Female,1961-11-18,CHN,Artistic Swimming,Coach,Team
WANG Yang,Male,1968-09-08,CHN,Hockey,Head Coach,Women
WIEGMAN Sarina,Female,1969-10-26,NED,Football,Head Coach,Women
WIRTH Oscar,Male,1955-11-05,CHI,Football,Head Coach,NA
WOELFLIN Roberto Osvaldo,Male,1968-07-28,ARG,Volleyball,Head Coach,NA
WOICKI Pawel,Male,1983-06-29,POL,Volleyball,Head Coach,NA
WRIGHT Jerold,Male,1961-12-24,USA,Basketball,Coach,NA
XU Limin,Male,1966-05-01,CHN,Basketball,Coach,Women
YAMAJI Noriko,Female,1970-09-17,JPN,Baseball/Softball,Coach,Softball
YOUNG Ernie,Male,1969-07-08,USA,Baseball/Softball,Coach,Baseball
YUAN Lingxi,Male,1982-07-31,CHN,Volleyball,Head Coach,NA
ZAITSEVA Olesia,Female,1974-11-08,UKR,Artistic Swimming,Coach,Duet
ZAMORA PEDREIRA Javier,Male,1984-10-27,ESP,Basketball,Coach,NA
ZAMPIERI Francesca,Female,1981-12-22,LIE,Artistic Swimming,Coach,Duet
ZHANG Xiaohuan,Female,1980-08-19,CHN,Artistic Swimming,Coach,NA
ZIJP Simon,Male,1964-03-12,NED,Hockey,Coach,NA
ZONDI Nkuliso,Male,1989-03-02,RSA,Hockey,Coach,Women
