name,gender,birth_date,country_code,discipline,function,event
de MOURA Luizomar,Male,1966-05-26,KEN,Volleyball,Head Coach,Women
de OLIVEIRA Marcus Ricardo,Male,1979-12-02,BRA,Handball,Coach,Men
de VOS Robbert-Jan,Male,1979-10-13,NED,Hockey,Coach,NA
DELANEY Mike,Male,1989-04-17,NZL,Hockey,Coach,NA
DEMCHENKO Zhanna,Female,1969-09-18,KAZ,Artistic Swimming,Coach,Duet
DIAZ FERNANDEZ Jenaro Manuel,Male,1971-04-03,ESP,Basketball,Coach,NA
DIAZ HENRIQUEZ Nestor,Male,1977-03-26,DOM,Basketball,Coach,NA
DOBSON Howard,Male,1973-02-13,USA,Baseball/Softball,Coach,Softball
DROBNJAK Dragisa,Male,1977-11-05,SLO,Basketball,Coach,NA
DUENAS de GALARZA Jorge,Male,1962-10-16,BRA,Handball,Coach,Women
DURO Fernando,Male,1960-11-22,VEN,Basketball,Coach,NA
DYKSTRA Trisha,Female,1972-07-23,AUS,Basketball,Coach,NA
ECHEZURIA Manuel,Male,1997-10-23,VEN,Basketball,Coach,NA
EDDY Anthony,Male,1966-01-28,IRL,Rugby Sevens,Head Coach,Men
EITOKU Atsushi,Male,1986-12-14,JPN,Artistic Swimming,Coach,NA
ELAFANDI Nour,Female,1993-01-10,EGY,Artistic Swimming,Coach,Duet
ELAFANDI Nour,Female,1993-01-10,EGY,Artistic Swimming,Coach,Team
ELEK Gabor,Male,1970-11-05,HUN,Handball,Coach,Women
ENGELLAND Chip,Male,1961-05-07,USA,Basketball,Coach,NA
ENQUIST Susan,Female,1957-08-24,USA,Volleyball,Head Coach,NA
ERIKSEN Ken,Male,1961-01-31,USA,Baseball/Softball,Head Coach,Softball
ESTRADA Hector,Male,1968-10-23,MEX,Baseball/Softball,Coach,Baseball
EWING Gareth,Male,1974-03-13,RSA,Hockey,Head Coach,Men
FABRE Julie,Female,1976-06-27,FRA,Artistic Swimming,Coach,Duet
FALERO Miguel,Male,1957-05-17,HON,Football,Head Coach,Men
FARINELLI Roberta,Female,1970-02-06,ITA,Artistic Swimming,Coach,Duet
FARINELLI Roberta,Female,1970-02-06,ITA,Artistic Swimming,Coach,Team
FATOVIC Elvis,Male,1971-05-08,AUS,Water Polo,Head Coach,Men
FAVAREL Pablo,Male,1983-10-14,VEN,Basketball,Coach,NA
FENSTER Darren,Male,1978-09-11,USA,Baseball/Softball,Coach,Baseball
